"000667.SZ","房地产","房地产开发管理"
"000668.SZ","石油石化","石油化工"
"000669.SZ","医药","其他医药医疗"
"000670.SZ","房地产","房地产开发管理"
"000671.SZ","商贸零售","贸易"
"000672.SZ","综合","综合"
"000673.SZ","建材","水泥"
"000676.SZ","机械","仪器仪表"
"000677.SZ","基础化工","合成纤维及树脂"
"000678.SZ","机械","通用设备"
"000679.SZ","商贸零售","零售"
"000680.SZ","机械","工程机械"
"000681.SZ","纺织服装","品牌服饰"
"000682.SZ","电力设备","输变电设备"
"000683.SZ","基础化工","化学原料"
"000685.SZ","电力及公用事业","环保及公用事业"
"000686.SZ","石油石化","石油化工"
"000687.SZ","基础化工","合成纤维及树脂"
"000688.SZ","计算机","计算机硬件"
"000690.SZ","电力及公用事业","发电及电网"
"000691.SZ","石油石化","石油化工"
"000692.SZ","电力及公用事业","环保及公用事业"
"000693.SZ","综合","综合"
"000695.SZ","电力及公用事业","环保及公用事业"
"000697.SZ","电子元器件","其他元器件"
"000698.SZ","石油石化","石油化工"
"000700.SZ","汽车","汽车零部件"
"000701.SZ","电子元器件","电子设备"
"000702.SZ","农林牧渔","牧业"
"000703.SZ","建材","其他建材"
"000705.SZ","医药","其他医药医疗"
"000707.SZ","基础化工","化学原料"
"000708.SZ","钢铁","其他钢铁"
"000709.SZ","钢铁","普钢"
"000710.SZ","汽车","汽车零部件"
"000711.SZ","房地产","房地产开发管理"
"000712.SZ","电力及公用事业","环保及公用事业"
"000713.SZ","纺织服装","纺织制造"
"000715.SZ","商贸零售","零售"
"000716.SZ","食品饮料","食品"
"000717.SZ","钢铁","普钢"
"000718.SZ","房地产","房地产开发管理"
"000719.SZ","综合","综合"
"000720.SZ","电力及公用事业","发电及电网"
"000721.SZ","餐饮旅游","酒店及餐饮"
"000722.SZ","商贸零售","贸易"
"000723.SZ","煤炭","煤炭化工"
"000725.SZ","电子元器件","其他元器件"
"000726.SZ","纺织服装","纺织制造"
"000727.SZ","电子元器件","电子设备"
"000728.SZ","非银行金融","证券"
"000729.SZ","食品饮料","其他饮料"
"000731.SZ","基础化工","农用化工"
"000732.SZ","综合","综合"
"000733.SZ","电子元器件","电子设备"
"000735.SZ","农林牧渔","牧业"
"000736.SZ","房地产","房地产开发管理"
"000737.SZ","基础化工","化学制品"
"000738.SZ","汽车","摩托车及其他"
"000739.SZ","医药","化学制药"
"000748.SZ","计算机","计算机硬件"
"000750.SZ","医药","化学制药"
"000751.SZ","有色金属","工业金属"
"000752.SZ","食品饮料","其他饮料"
"000753.SZ","汽车","汽车销售及服务"
"000755.SZ","基础化工","化学原料"
"000756.SZ","医药","化学制药"
"000757.SZ","机械","工程机械"
"000758.SZ","有色金属","工业金属"
"000759.SZ","商贸零售","零售"
"000760.SZ","汽车","汽车零部件"
"000761.SZ","钢铁","普钢"
"000762.SZ","有色金属","稀有金属"
"000766.SZ","医药","中药生产"
"000767.SZ","电力及公用事业","发电及电网"
"000768.SZ","国防军工","航空航天"
"000776.SZ","交通运输","公路铁路"
"000777.SZ","电力设备","新能源设备"
"000778.SZ","钢铁","普钢"
"000779.SZ","纺织服装","纺织制造"
"000780.SZ","煤炭","煤炭开采洗选"
"000782.SZ","基础化工","合成纤维及树脂"
"000783.SZ","非银行金融","证券"
"000785.SZ","商贸零售","零售"
"000786.SZ","建材","其他建材"
"000788.SZ","医药","化学制药"
"000789.SZ","建材","水泥"
"000790.SZ","钢铁","其他钢铁"
"000791.SZ","基础化工","化学制品"
"000792.SZ","基础化工","农用化工"
"000793.SZ","传媒","传媒"
"000795.SZ","有色金属","稀有金属"
"000796.SZ","餐饮旅游","酒店及餐饮"
"000797.SZ","房地产","房地产开发管理"
"000798.SZ","农林牧渔","渔业"
"000799.SZ","食品饮料","白酒"
"000800.SZ","汽车","乘用车"
"000801.SZ","电子元器件","电子设备"
"000802.SZ","餐饮旅游","景区和旅行社"
"000803.SZ","汽车","汽车销售及服务"
"000806.SZ","电力设备","输变电设备"
"000807.SZ","有色金属","工业金属"
"000809.SZ","医药","中药生产"
"000810.SZ","纺织服装","纺织制造"
"000811.SZ","机械","通用设备"
"000812.SZ","轻工制造","其他轻工"
"000813.SZ","纺织服装","品牌服饰"
"000815.SZ","轻工制造","造纸"
"000816.SZ","机械","通用设备"
"000818.SZ","基础化工","化学原料"
"000819.SZ","石油石化","石油化工"
"000820.SZ","轻工制造","造纸"
"000821.SZ","机械","其他专用设备"
"000822.SZ","基础化工","化学原料"
"000823.SZ","电子元器件","其他元器件"
"000825.SZ","钢铁","普钢"
"000826.SZ","电力及公用事业","环保及公用事业"
"000828.SZ","交通运输","公路铁路"
"000829.SZ","商贸零售","零售"
"000830.SZ","基础化工","农用化工"
"000831.SZ","有色金属","工业金属"
"000833.SZ","轻工制造","造纸"
"000835.SZ","煤炭","煤炭化工"
"000836.SZ","房地产","房地产开发管理"
"000837.SZ","机械","通用设备"
"000838.SZ","基础化工","化学制品"
"000839.SZ","通信","通信设备制造"
"000848.SZ","食品饮料","其他饮料"
"000850.SZ","纺织服装","纺织制造"
"000851.SZ","商贸零售","零售"
"000852.SZ","机械","其他专用设备"
"000856.SZ","建材","其他建材"
"000858.SZ","食品饮料","白酒"
"000859.SZ","基础化工","化学制品"
"000860.SZ","农林牧渔","牧业"
"000861.SZ","基础化工","化学制品"
"000862.SZ","电力设备","新能源设备"
"000863.SZ","综合","综合"
"000868.SZ","汽车","商用车"
"000869.SZ","食品饮料","其他饮料"
"000875.SZ","电力及公用事业","发电及电网"
"000876.SZ","农林牧渔","牧业"
"000877.SZ","建材","水泥"
"000878.SZ","有色金属","工业金属"
"000880.SZ","机械","通用设备"
"000881.SZ","商贸零售","贸易"
"000882.SZ","商贸零售","零售"
"000883.SZ","电力及公用事业","发电及电网"
"000885.SZ","建材","水泥"
"000886.SZ","交通运输","公路铁路"
"000887.SZ","汽车","汽车零部件"
"000888.SZ","餐饮旅游","景区和旅行社"
"000889.SZ","商贸零售","零售"
"000890.SZ","机械","金属制品"
"000892.SZ","通信","通信设备制造"
"000893.SZ","家电","白色家电"
"000895.SZ","食品饮料","食品"
"000897.SZ","房地产","房地产开发管理"
"000898.SZ","钢铁","普钢"
"000899.SZ","电力及公用事业","发电及电网"
"000900.SZ","交通运输","公路铁路"
"000901.SZ","国防军工","航空航天"
"000902.SZ","纺织服装","品牌服饰"
"000903.SZ","汽车","汽车零部件"
"000905.SZ","交通运输","航运港口"
"000906.SZ","汽车","汽车销售及服务"
"000908.SZ","综合","综合"
"000909.SZ","家电","黑色家电"
"000910.SZ","农林牧渔","林业"
"000911.SZ","农林牧渔","农业"
"000912.SZ","基础化工","农用化工"
"000913.SZ","汽车","摩托车及其他"
"000915.SZ","医药","其他医药医疗"
"000916.SZ","交通运输","公路铁路"
"000917.SZ","传媒","传媒"
"000918.SZ","食品饮料","食品"
"000919.SZ","医药","中药生产"
"000920.SZ","机械","运输设备"
"000921.SZ","家电","白色家电"
"000922.SZ","电力设备","输变电设备"
"000923.SZ","机械","工程机械"
"000925.SZ","电子元器件","半导体"
"000926.SZ","房地产","房地产开发管理"
"000927.SZ","汽车","乘用车"
"000928.SZ","综合","综合"
"000929.SZ","食品饮料","其他饮料"
"000930.SZ","农林牧渔","农业"
"000931.SZ","房地产","房地产开发管理"
"000932.SZ","钢铁","普钢"
"000933.SZ","有色金属","工业金属"
"000935.SZ","建材","水泥"
"000936.SZ","基础化工","合成纤维及树脂"
"000937.SZ","煤炭","煤炭开采洗选"
"000938.SZ","计算机","计算机硬件"
"000939.SZ","电力及公用事业","环保及公用事业"
"000948.SZ","计算机","计算机硬件"
"000949.SZ","基础化工","合成纤维及树脂"
"000950.SZ","基础化工","农用化工"
"000951.SZ","汽车","商用车"
"000952.SZ","医药","化学制药"
"000953.SZ","基础化工","农用化工"
"000955.SZ","纺织服装","纺织制造"
"000957.SZ","汽车","商用车"
"000958.SZ","电力及公用事业","发电及电网"
"000959.SZ","钢铁","普钢"
"000960.SZ","有色金属","工业金属"
"000961.SZ","房地产","房地产开发管理"
"000962.SZ","有色金属","稀有金属"
"000963.SZ","医药","其他医药医疗"
"000965.SZ","房地产","房地产开发管理"
"000966.SZ","电力及公用事业","发电及电网"
"000967.SZ","电力设备","新能源设备"
"000968.SZ","煤炭","煤炭化工"
"000969.SZ","有色金属","稀有金属"
"000970.SZ","电子元器件","其他元器件"
"000971.SZ","纺织服装","纺织制造"
"000972.SZ","农林牧渔","农业"
"000973.SZ","基础化工","化学制品"
"000975.SZ","建材","水泥"
"000976.SZ","基础化工","合成纤维及树脂"
"000977.SZ","计算机","计算机硬件"
"000978.SZ","餐饮旅游","景区和旅行社"
"000979.SZ","基础化工","化学制品"
"000980.SZ","汽车","汽车零部件"
"000981.SZ","综合","综合"
"000982.SZ","纺织服装","纺织制造"
"000983.SZ","煤炭","煤炭开采洗选"
"000985.SZ","石油石化","石油化工"
"000987.SZ","商贸零售","零售"
"000988.SZ","电子元器件","电子设备"
"000989.SZ","医药","中药生产"
"000990.SZ","电子元器件","其他元器件"
"000993.SZ","电力及公用事业","发电及电网"
"000995.SZ","食品饮料","白酒"
"000996.SZ","交通运输","公交物流"
"000997.SZ","计算机","计算机硬件"
"000998.SZ","农林牧渔","农业"
"000999.SZ","医药","中药生产"
"001696.SZ","汽车","摩托车及其他"
"001896.SZ","电力及公用事业","发电及电网"
"001965.SZ","交通运输","公路铁路"
"001979.SZ","房地产","房地产开发管理"
"002001.SZ","医药","化学制药"
"002002.SZ","房地产","房地产开发管理"
"002003.SZ","纺织服装","纺织制造"
"002004.SZ","医药","生物医药"
"002005.SZ","家电","小家电"
"002006.SZ","机械","工程机械"
"002007.SZ","医药","生物医药"
"002008.SZ","电子元器件","电子设备"
"002009.SZ","交通运输","公交物流"
"002010.SZ","基础化工","化学制品"
"002011.SZ","机械","通用设备"
"002012.SZ","轻工制造","造纸"
"002013.SZ","国防军工","航空航天"
"002014.SZ","轻工制造","其他轻工"
"002015.SZ","纺织服装","纺织制造"
"002016.SZ","医药","其他医药医疗"
"002017.SZ","通信","通信设备制造"
"002018.SZ","基础化工","农用化工"
"002019.SZ","医药","化学制药"
"002020.SZ","医药","化学制药"
"002021.SZ","机械","其他专用设备"
"002022.SZ","医药","生物医药"
"002023.SZ","机械","运输设备"
"002024.SZ","商贸零售","零售"
"002025.SZ","国防军工","航空航天"
"002026.SZ","机械","通用设备"
"002027.SZ","计算机","计算机硬件"
"002028.SZ","电力设备","输变电设备"
"002029.SZ","纺织服装","品牌服饰"
"002030.SZ","医药","生物医药"
"002031.SZ","汽车","汽车零部件"
"002032.SZ","家电","小家电"
"002033.SZ","餐饮旅游","景区和旅行社"
"002034.SZ","纺织服装","纺织制造"
"002035.SZ","家电","小家电"
"002036.SZ","纺织服装","纺织制造"
"002037.SZ","基础化工","化学制品"
"002038.SZ","医药","生物医药"
"002039.SZ","电力及公用事业","发电及电网"
"002040.SZ","交通运输","航运港口"
"002041.SZ","农林牧渔","农业"
"002042.SZ","纺织服装","纺织制造"
"002043.SZ","建材","其他建材"
"002044.SZ","纺织服装","品牌服饰"
"002045.SZ","电子元器件","电子设备"
"002046.SZ","机械","通用设备"
"002047.SZ","机械","金属制品"
"002048.SZ","汽车","汽车零部件"
"002049.SZ","电子元器件","半导体"
"002050.SZ","机械","其他专用设备"
"002051.SZ","建筑","建筑施工"
"002052.SZ","电子元器件","电子设备"
"002053.SZ","基础化工","化学原料"
"002054.SZ","基础化工","化学制品"
"002055.SZ","电子元器件","其他元器件"
"002056.SZ","电子元器件","其他元器件"
"002057.SZ","钢铁","其他钢铁"
"002058.SZ","机械","仪器仪表"
"002059.SZ","房地产","房地产开发管理"
"002060.SZ","建筑","建筑施工"
"002061.SZ","基础化工","化学原料"
"002062.SZ","建筑","建筑施工"
"002063.SZ","计算机","计算机软件"
"002064.SZ","基础化工","合成纤维及树脂"
"002065.SZ","计算机","IT服务"
"002066.SZ","建材","其他建材"
"002067.SZ","轻工制造","造纸"
"002068.SZ","基础化工","化学原料"
"002069.SZ","农林牧渔","渔业"
"002070.SZ","纺织服装","纺织制造"
"002071.SZ","机械","金属制品"
"002072.SZ","纺织服装","纺织制造"
